Downstream distance,Drainage_Area,DEM_VOURAIKOS,Erosional efficiency
39802.65027,236959900,55.18330383,2.10E-11
39795.57923,236958950,55.18330383,2.10E-11
39788.50818,236958050,55.18330383,2.10E-11
39781.43714,236945500,55.18330383,2.10E-11
39774.36609,236944775,55.18330383,2.10E-11
39767.29505,236942125,55.18330383,2.10E-11
39760.224,236939825,55.18330383,2.10E-11
39753.15296,236938400,55.18330383,2.10E-11
39746.08191,236937350,55.18330383,2.10E-11
39739.01087,236912825,55.18330383,2.10E-11
39731.93982,236908825,55.18330383,2.10E-11
39724.86878,236908325,55.18330383,2.10E-11
39719.86878,236907775,55.18330383,2.10E-11
39714.86878,236907600,55.18330383,2.10E-11
39709.86878,236907500,55.18330383,2.10E-11
39702.79773,236853175,55.18330383,2.10E-11
39697.79773,236852950,55.18330383,2.10E-11
39690.72669,236852350,55.18330383,2.10E-11
39685.72669,236851775,55.18330383,2.10E-11
39678.65565,236851450,55.18330383,2.10E-11
39673.65565,236851000,55.18330383,2.10E-11
39666.5846,236850175,55.18330383,2.10E-11
39661.5846,236849850,55.18330383,2.10E-11
39654.51356,236849625,55.18330383,2.10E-11
39649.51356,236849075,55.18330383,2.10E-11
39642.44251,236848900,55.18330383,2.10E-11
39637.44251,236848525,55.18330383,2.10E-11
39632.44251,236847875,55.18330383,2.10E-11
39627.44251,236847825,55.18330383,2.10E-11
39620.37147,236847000,55.18330383,2.10E-11
39613.30042,236839825,55.18330383,2.10E-11
39606.22938,236827950,55.18330383,2.10E-11
39601.22938,236823850,55.18330383,2.10E-11
39596.22938,236823825,55.18330383,2.10E-11
39591.22938,236823800,55.18330383,2.10E-11
39586.22938,236823700,55.18330383,2.10E-11
39581.22938,236823600,55.40164185,2.10E-11
39576.22938,236823500,55.78992081,2.10E-11
39571.22938,236823475,55.93718338,2.10E-11
39566.22938,236823375,56.0484314,2.10E-11
39561.22938,236823250,56.09891129,2.10E-11
39556.22938,236823125,56.13780212,2.10E-11
39549.15833,236822975,56.17665482,2.10E-11
39544.15833,236821425,56.61629486,2.10E-11
39539.15833,236821375,57.51394653,2.10E-11
39534.15833,236821350,57.51394653,2.10E-11
39527.08729,236516400,57.51394653,2.10E-11
39520.01612,236516000,57.51394653,2.10E-11
39512.94507,236515500,57.51394653,2.10E-11
39507.94507,236515375,57.51394653,2.10E-11
39502.94507,236515250,57.51394653,2.10E-11
39497.94507,236515125,57.51394653,2.10E-11
39492.94507,236515025,57.51394653,2.10E-11
39487.94507,236514900,57.51394653,2.10E-11
39480.87403,236250575,57.51394653,2.10E-11
39475.87403,236250375,57.51394653,2.10E-11
39470.87403,236250275,57.51394653,2.10E-11
39463.80298,236250025,57.55180359,2.10E-11
39458.80298,236249625,58.05192184,2.10E-11
39451.73194,236249500,58.75836182,2.10E-11
39444.66089,236249400,59.34507751,2.10E-11
39437.58985,236249275,59.53390884,2.10E-11
39430.5188,236249100,59.53390884,2.10E-11
39423.44776,236248700,59.53390884,2.10E-11
39416.37671,236248500,59.53390884,2.10E-11
39409.30567,236248225,59.53390884,2.10E-11
39402.23462,236247775,59.7617836,2.10E-11
39397.23462,236247600,60.00246811,2.10E-11
39390.16358,236247525,60.00246811,2.10E-11
39385.16358,236247300,60.20630264,2.10E-11
39378.09253,236247125,60.22953415,2.10E-11
39371.02149,236247025,60.22953415,2.10E-11
39366.02149,236246825,60.22953415,2.10E-11
39358.95044,236246500,60.58022308,2.10E-11
39351.8794,236246200,60.62992859,2.10E-11
39346.8794,236246075,60.71017456,2.10E-11
39339.80836,236245750,60.93447495,2.10E-11
39332.73731,236245725,60.93447495,2.10E-11
39327.73731,236245525,60.93447495,2.10E-11
39320.66627,236245125,61.10621643,2.10E-11
39315.66627,236244825,61.14921188,2.10E-11
39308.59522,236244600,61.20544434,2.10E-11
39303.59522,236244225,61.29038239,2.10E-11
39296.52418,236244000,61.51974106,2.10E-11
39289.45313,236243775,61.73558426,2.10E-11
39284.45313,236243500,61.98472214,2.10E-11
39277.38209,236243350,62.2770195,2.10E-11
39270.31104,236243275,62.29799271,2.10E-11
39263.24,236242975,62.29799271,2.10E-11
39258.24,236242800,63.09552383,2.10E-11
39251.16895,236242700,63.24318695,2.10E-11
39244.09791,236242100,63.24318695,2.10E-11
39237.02686,236241250,63.24318695,2.10E-11
39229.95582,236240975,63.24318695,2.10E-11
39224.95582,236240675,63.28357315,2.10E-11
39219.95582,236240475,63.5049057,2.10E-11
39212.88477,236240200,64.27831268,2.10E-11
39205.81373,236240025,64.7002182,2.10E-11
39198.74268,236239800,64.7002182,2.10E-11
